batch_id,num_drones,alignment,gradient_map,num_runs,success_rate_percent,completion_time_mean,completion_time_std,completion_time_median,finish_line_x,avg_final_x
batch_11.06.2025_04.38.11,7,ON,sine_curve_thick001_freq2,50,100.0,174.33,17.14,169.85,18.67,18.57
batch_11.06.2025_05.01.35,10,ON,sine_curve_thick001_freq2,50,100.0,180.17,6.06,179.21,17.54,17.44
batch_11.06.2025_05.36.02,19,ON,sine_curve_thick001_freq2,50,100.0,205.1,5.56,203.84,17.54,17.44
batch_11.06.2025_06.52.57,37,ON,sine_curve_thick001_freq2,50,74.0,226.24,14.93,223.9,16.41,16.31
