batch_id,num_drones,alignment,vision_mode,gradient_map,num_runs,success_rate_percent,completion_time_mean,completion_time_std,completion_time_median,finish_line_x,avg_final_x
batch_02.22.2026_09.28.35,7,ON,anisotropic,sine_curve_thick1_freq8,2,100.0,210.98,31.4,210.98,18.67,18.57
batch_02.22.2026_09.30.11,7,ON,anisotropic,sine_curve_thick000001_freq8,2,100.0,187.72,36.91,187.72,18.67,18.57
batch_02.22.2026_09.31.47,7,ON,pursuit_evasion,sine_curve_thick001_freq2,2,0.0,,,,18.67,
batch_02.22.2026_09.33.40,7,ON,pursuit_evasion,sine_curve_thick1_freq2,2,0.0,,,,18.67,
batch_02.22.2026_09.35.31,7,ON,pursuit_evasion,sine_curve_thick000001_freq2,2,0.0,,,,18.67,
batch_02.22.2026_09.37.32,7,ON,pursuit_evasion,sine_curve_thick001_freq4,2,0.0,,,,18.67,
batch_02.22.2026_09.39.41,7,ON,pursuit_evasion,sine_curve_thick1_freq4,2,0.0,,,,18.67,
batch_02.22.2026_09.41.37,7,ON,pursuit_evasion,sine_curve_thick000001_freq4,2,0.0,,,,18.67,
batch_02.22.2026_09.43.25,7,ON,pursuit_evasion,sine_curve_thick001_freq8,2,0.0,,,,18.67,
batch_02.22.2026_09.45.24,7,ON,pursuit_evasion,sine_curve_thick1_freq8,2,0.0,,,,18.67,
batch_02.22.2026_09.47.24,7,ON,pursuit_evasion,sine_curve_thick000001_freq8,2,0.0,,,,18.67,
batch_02.22.2026_09.49.21,10,ON,normal,sine_curve_thick001_freq2,2,100.0,181.41,4.72,181.41,17.54,17.44
batch_02.22.2026_09.51.11,10,ON,normal,sine_curve_thick1_freq2,2,0.0,,,,17.54,
batch_02.22.2026_09.53.49,10,ON,normal,sine_curve_thick000001_freq2,2,100.0,179.54,3.5,179.54,17.54,17.44
batch_02.22.2026_09.55.35,10,ON,normal,sine_curve_thick001_freq4,2,100.0,205.62,13.21,205.62,17.54,17.44
batch_02.22.2026_09.57.37,10,ON,normal,sine_curve_thick1_freq4,2,0.0,,,,17.54,
batch_02.22.2026_10.00.14,10,ON,normal,sine_curve_thick000001_freq4,2,100.0,225.42,42.15,225.42,17.54,17.44
batch_02.22.2026_10.02.16,10,ON,normal,sine_curve_thick001_freq8,2,100.0,267.71,29.83,267.71,17.54,17.44
batch_02.22.2026_10.04.35,10,ON,normal,sine_curve_thick1_freq8,2,0.0,,,,17.54,
batch_02.22.2026_10.07.11,10,ON,normal,sine_curve_thick000001_freq8,2,100.0,224.34,10.24,224.34,17.54,17.44
batch_02.22.2026_10.09.16,10,ON,anisotropic,sine_curve_thick001_freq2,2,100.0,220.7,40.07,220.7,17.54,17.44
batch_02.22.2026_10.11.23,10,ON,anisotropic,sine_curve_thick1_freq2,2,100.0,146.69,3.81,146.69,17.54,17.44
batch_02.22.2026_10.13.10,10,ON,anisotropic,sine_curve_thick000001_freq2,2,100.0,194.21,22.4,194.21,17.54,17.44
batch_02.22.2026_10.15.03,10,ON,anisotropic,sine_curve_thick001_freq4,2,100.0,192.73,36.31,192.73,17.54,17.44
batch_02.22.2026_10.17.00,10,ON,anisotropic,sine_curve_thick1_freq4,2,100.0,202.03,18.34,202.03,17.54,17.44
batch_02.22.2026_10.18.55,10,ON,anisotropic,sine_curve_thick000001_freq4,2,100.0,177.18,28.82,177.18,17.54,17.44
batch_02.22.2026_10.20.41,10,ON,anisotropic,sine_curve_thick001_freq8,2,100.0,147.43,0.68,147.43,17.54,17.44
batch_02.22.2026_10.22.15,10,ON,anisotropic,sine_curve_thick1_freq8,2,100.0,178.9,2.04,178.9,17.54,17.44
batch_02.22.2026_10.24.02,10,ON,anisotropic,sine_curve_thick000001_freq8,2,100.0,188.39,38.2,188.39,17.54,17.44
batch_02.22.2026_10.26.06,10,ON,pursuit_evasion,sine_curve_thick001_freq2,2,0.0,,,,17.54,
batch_02.22.2026_10.28.42,10,ON,pursuit_evasion,sine_curve_thick1_freq2,2,0.0,,,,17.54,
batch_02.22.2026_10.31.15,10,ON,pursuit_evasion,sine_curve_thick000001_freq2,2,0.0,,,,17.54,
batch_02.22.2026_10.34.00,10,ON,pursuit_evasion,sine_curve_thick001_freq4,2,0.0,,,,17.54,
batch_02.22.2026_10.36.39,10,ON,pursuit_evasion,sine_curve_thick1_freq4,2,0.0,,,,17.54,
batch_02.22.2026_10.39.21,10,ON,pursuit_evasion,sine_curve_thick000001_freq4,2,0.0,,,,17.54,
batch_02.22.2026_10.42.05,10,ON,pursuit_evasion,sine_curve_thick001_freq8,2,0.0,,,,17.54,
batch_02.22.2026_10.44.39,10,ON,pursuit_evasion,sine_curve_thick1_freq8,2,0.0,,,,17.54,
batch_02.22.2026_10.47.09,10,ON,pursuit_evasion,sine_curve_thick000001_freq8,2,0.0,,,,17.54,
